cm3,kW,km,brand,make,price,year
1997,110,170000,Peugeot,508,9190,2015
1995,120,214000,BMW,520,5799,2006
2993,220,27450,BMW,740,109990,2023
1968,100,273740,Audi,A6,9500,2011
2184,127,234709,Mazda,CX-7,,2010
1398,92,217750,Audi,A3,5550,2009
1989,125,224680,Seat,Altea XL,4550,2007
1989,66,359611,Peugeot,307,,2002
2989,171,280000,Audi,Q7,11000,2006
1242,60,165000,Ford,Fiesta,3800,2011
1461,81,156320,Renault,Megane,5500,2011
1199,96,162100,Peugeot,3008,15699,2019
1896,77,249000,Škoda,Octavia,2990,2005
1086,49,178739,Hyundai,i10,,2009
1197,77,175123,Volkswagen,Touran,6399,2011
1461,55,143100,Renault,Clio,8350,2019
1896,77,255460,Volkswagen,Passat B6,3350,2007
1560,80,172000,Peugeot,3008,6800,2010
1968,110,200000,Volkswagen,Tiguan,18999,2018
1229,59,160000,Opel,Corsa D,2999,2007
1995,74,236550,Opel,Zafira,1000,2002
1686,81,257000,Opel,Astra J,4750,2011
2993,210,210000,BMW,X6,17500,2009
1968,140,176462,Audi,A4,24490,2019
1461,66,161482,Renault,Megane,,2018
1598,81,174729,Opel,Insignia,13990,2019
1969,173,89365,Volvo,XC90,43490,2018
898,66,131810,Renault,Captur,12990,2018
1390,90,198000,Volkswagen,Golf 6,4999,2009
1968,110,295070,Volkswagen,Tiguan,20750,2016
2993,210,26634,BMW,530,65990,2023
1461,80,124643,Mercedes Benz,CLA 180,17990,2016
1991,103,223500,Mercedes Benz,B 200,3700,2005
1998,135,87000,Mercedes Benz,E 200,34999,2017
1968,110,193260,Volkswagen,Passat B8,11999,2015
1590,85,196000,Mitsubishi,ASX,8500,2012
1461,81,210000,Renault,Megane,4600,2011
1798,85,219000,Mitsubishi,ASX,7750,2010
1598,55,167000,Volkswagen,Polo,6600,2011
1600,85,200150,Volkswagen,Golf 7,13500,2018
1600,68,154560,Citroen,C3,5700,2012
1368,88,199000,Alfa Romeo,Giulietta,5200,2011
1600,85,185000,Škoda,Octavia,10900,2018
1896,77,201528,Audi,A3,4699,2005
1198,77,157477,Volkswagen,Polo,5399,2010
1997,110,196000,Peugeot,3008,16990,2018
1598,84,224200,Nissan,Qashqai,6750,2010
1598,85,171462,Škoda,Octavia,10990,2018
2000,150,194000,Audi,A6,27990,2019
2191,110,246000,Mazda,CX-5,13990,2018
1995,140,187000,BMW,520,24990,2017
1968,81,198000,Volkswagen,Passat B6,5950,2010
1898,77,210000,Volkswagen,Passat B6,3750,2008
1989,119,210000,BMW,320,4699,2006
1968,103,198000,Audi,Q3,13990,2012
1984,140,176870,Volkswagen,T-Roc,23799,2019
1229,59,185065,Opel,Corsa D,3700,2006
1390,110,165000,Volkswagen,Touran,9499,2015
