cm3,kW,km,brand,make,price,year
1200,55,165123,Volkswagen,Polo,5699,2013
1598,85,220000,Audi,A3,18599,2019
1598,81,168123,Opel,Astra K,8999,2017
1700,81,168123,Opel,Astra J,5550,2011
1390,92,192500,Audi,A3,5750,2009
1400,88,88980,Fiat,Doblo,,2016
1968,103,301000,Audi,A3,7500,2007
1598,77,180251,Škoda,Roomster,5850,2015
1586,77,177000,Škoda,Octavia,5799,2009
1989,103,220000,Volkswagen,Passat B6,4999,2008
1598,77,189000,Volkswagen,Passat B7,7450,2011
2902,120,302000,Hyundai,Terracan,4900,2006
1968,103,256511,Škoda,Yeti,7799,2013
1398,50,200500,Peugeot,207,3499,2009
1149,54,88300,Renault,Clio,8600,2018
1390,90,162380,Volkswagen,Passat B7,7499,2012
1398,50,236190,Peugeot,207,3500,2010
1798,132,227591,Audi,A3,10950,2013
1598,82,224000,Peugeot,3008,6150,2011
1248,63,192000,Fiat,Grande Punto,3990,2013
1997,120,191889,Citroen,C5,5799,2010
1199,55,208587,Volkswagen,Polo,4550,2011
1598,77,210500,Audi,A3,10300,2013
1968,103,196720,Volkswagen,Passat B7,7450,2012
1995,130,215000,BMW,320,4800,2008
1388,70,167600,Ford,Fiesta,4100,2011
1242,44,206500,Fiat,Punto,1299,2002
1598,96,156750,Nissan,Qashqai,12950,2014
1248,70,169550,Opel,Corsa E,7490,2016
1968,125,260000,Audi,A3,6000,2008
1968,103,222000,Volkswagen,Tiguan,10900,2013
1498,96,250000,Seat,Leon,,2019
1968,110,163000,Audi,A4,21500,2016
1995,85,205000,Toyota,RAV 4,5590,2005
1598,88,210300,Fiat,Tipo,7990,2016
2000,102,246111,Audi,A6,12700,2013
1560,85,195030,Ford,Focus,5990,2012
1968,140,192000,Škoda,Kodiaq,22500,2017
1397,50,168197,Peugeot,208,6500,2012
1968,110,24000,Škoda,Karoq,30500,2022
1198,85,111071,Renault,Megane,6700,2014
1496,74,223782,Mazda,3,10050,2014
1560,68,206090,Citroen,C4,6399,2011
1968,88,132944,Audi,A4,8450,2009
1968,103,218352,Audi,A6,5750,2007
1997,100,140000,Citroen,C5,4990,2008
1968,140,108000,Volkswagen,Tiguan,29900,2018
1995,89,195392,BMW,320,5650,2007
1997,120,245831,Citroen,C5,5490,2010
1461,81,172320,Renault,Megane,4499,2009
999,46,160000,Kia,Picanto,3297,2010
1956,118,254000,Opel,Insignia,4950,2011
1560,68,186200,Peugeot,2008,7800,2014
1618,120,110775,Nissan,X-Trail,18500,2018
1995,120,252870,BMW,320,5500,2007
1560,85,259687,Ford,Mondeo,11650,2015
1896,74,214566,Volkswagen,Passat B5.5,2650,2003
1248,55,198635,Fiat,EVO,3999,2012
2993,190,196238,BMW,530 GT,15750,2013
1969,173,178399,Volvo,XC90,42990,2019
1896,81,211000,Volkswagen,Golf 7,8999,2014
1968,103,257130,Audi,A3,4500,2007
2143,125,401000,Mercedes Benz,GLK 220,5950,2010
1395,81,170436,Volkswagen,Golf 7,9699,2014
1956,120,185000,Opel,Insignia,9150,2014
1461,81,194136,Renault,Scenic,5890,2012
1956,99,217000,Fiat,Doblo,6399,2011
1560,73,181000,Peugeot,308,7999,2015
1461,55,161349,Renault,Clio,7890,2018
1995,85,164000,BMW,316,12800,2012
2998,210,205000,BMW,X6,19900,2010
1986,145,204000,Volvo,XC60,38800,2020
1998,105,181000,MINI,Countryman,10650,2012
1986,130,204000,Audi,A4 Allroad,10950,2010
1397,70,240000,Peugeot,207,3999,2010
2146,129,205000,Mazda,CX-5,23800,2018
1461,81,162200,Renault,Grand Scenic,14399,2017
1896,77,208000,Volkswagen,Golf 5,4190,2005
1199,63,140061,Audi,A1,9499,2014
1499,70,35400,Ford,Fiesta,8199,2017
1995,140,133700,BMW,320,27990,2019
1461,85,106833,Renault,Kadjar,15990,2020
1969,88,152595,Volvo,V40,11490,2016
1968,110,155895,Audi,A4,18750,2017
1242,51,176000,Fiat,Grande Punto,3190,2014
1499,96,129347,Peugeot,3008,22990,2021
1968,140,104000,Škoda,Superb,25000,2020
2497,120,400000,BMW,525,2990,2001
1197,66,204405,Volkswagen,Polo,5999,2012
1395,80,190000,Seat,Leon,10499,2015
1149,43,258000,Renault,Twingo,1299,1998
1396,80,181000,Hyundai,i30,4600,2010
1298,44,196800,Ford,Ka,690,2001
1968,140,198000,Volkswagen,Tiguan,26450,2019
1499,110,0,Ford,Kuga,,2023
1968,103,236500,Audi,A3,4290,2005
1199,55,179681,Seat,Ibiza,3999,2011
1995,130,195000,BMW,X1,9500,2010
1598,77,250000,Renault,Kangoo,6700,2012
1910,88,193781,Fiat,Bravo,2950,2007
1364,103,132000,Opel,Mokka,13690,2016
1686,74,195094,Opel,Astra H,3200,2008
1560,55,147960,Citroen,C3,8850,2017
1587,80,195000,Peugeot,307,2990,2007
